c,D,C_f,primes,is_ppp
5278842689,-42230741512,9.2238,416,0
3215147009,-25721176072,9.2181,411,0
3945854501,-31566836008,9.1838,414,0
7792358141,-62338865128,9.1671,418,0
775814519,-6206516152,9.1521,451,0
3782552771,-30260422168,9.1201,394,0
6676918481,-53415347848,9.1201,387,0
3686849531,-29494796248,9.0594,387,0
2641108961,-21128871688,9.0229,400,0
2514966269,-20119730152,9.0130,425,0
1565599331,-12524794648,8.9905,411,0
4455945419,-35647563352,8.9829,410,0
7559161871,-60473294968,8.9822,412,0
5081726399,-40653811192,8.9796,398,0
8385626519,-67085012152,8.9747,406,1
2817591911,-22540735288,8.9621,397,0
6897441581,-55179532648,8.9618,428,0
482781329,-3862250632,8.9478,421,0
1085711351,-8685690808,8.9412,427,0
2316596279,-18532770232,8.9412,407,0
2783358629,-22266869032,8.9334,412,0
610293329,-4882346632,8.9329,427,0
5074028621,-40592228968,8.9227,396,0
1998900569,-15991204552,8.9185,399,0
778561319,-6228490552,8.9164,431,0
1563424451,-12507395608,8.9002,427,0
6993220361,-55945762888,8.8943,395,0
7298702069,-58389616552,8.8924,386,0
7669889399,-61359115192,8.8901,399,0
400741721,-3205933768,8.8890,423,0
751288001,-6010304008,8.8624,442,0
689257139,-5514057112,8.8595,434,0
1868003309,-14944026472,8.8393,422,0
1599051581,-12792412648,8.8383,394,0
7957571729,-63660573832,8.8362,392,0
1404332981,-11234663848,8.8351,417,1
1478404391,-11827235128,8.8266,421,1
1991655509,-15933244072,8.8261,408,0
1064426549,-8515412392,8.8245,420,0
2559971339,-20479770712,8.8203,432,0
785316659,-6282533272,8.8179,426,0
1970654039,-15765232312,8.8042,421,0
4150267811,-33202142488,8.8024,402,0
2165346719,-17322773752,8.8000,391,0
1051902959,-8415223672,8.7977,405,0
811471781,-6491774248,8.7935,431,0
1692292109,-13538336872,8.7935,392,0
4058002649,-32464021192,8.7908,413,0
1664942861,-13319542888,8.7857,409,0
1238423111,-9907384888,8.7849,430,0
382134869,-3057078952,8.7813,429,0
2323473671,-18587789368,8.7771,416,0
5787256829,-46298054632,8.7746,419,0
2528412611,-20227300888,8.7720,384,0
2821939691,-22575517528,8.7669,395,0
527075579,-4216604632,8.7668,401,0
1139237051,-9113896408,8.7647,413,0
3786130721,-30289045768,8.7610,402,0
8993240351,-71945922808,8.7589,379,0
263389541,-2107116328,8.7584,450,0
6989106671,-55912853368,8.7583,394,0
3521148149,-28169185192,8.7501,380,0
1073286629,-8586293032,8.7484,406,0
3342650999,-26741207992,8.7483,404,0
2636351981,-21090815848,8.7445,401,0
5660658119,-45285264952,8.7433,386,0
617101319,-4936810552,8.7328,410,0
393590471,-3148723768,8.7295,443,0
513825131,-4110601048,8.7276,416,0
4551692681,-36413541448,8.7255,413,0
4035163679,-32281309432,8.7218,388,0
1012929761,-8103438088,8.7186,437,0
371096261,-2968770088,8.7185,442,0
3461870441,-27694963528,8.7182,395,0
8864526371,-70916210968,8.7172,390,0
617126969,-4937015752,8.7164,430,0
1343525849,-10748206792,8.7160,414,0
2788963349,-22311706792,8.7141,405,0
2950728491,-23605827928,8.7140,406,0
6374444171,-50995553368,8.7138,410,0
7181225741,-57449805928,8.7092,375,0
2268390671,-18147125368,8.6991,392,0
1413224801,-11305798408,8.6953,414,1
8588875649,-68711005192,8.6928,369,0
944887511,-7559100088,8.6917,421,0
1999524881,-15996199048,8.6912,404,0
2876797589,-23014380712,8.6890,396,0
2523709421,-20189675368,8.6876,396,0
6514094549,-52112756392,8.6790,409,0
6632606681,-53060853448,8.6753,387,0
2904174389,-23233395112,8.6673,383,0
8669582951,-69356663608,8.6672,370,0
9687681329,-77501450632,8.6672,381,0
6239382881,-49915063048,8.6658,415,0
4464471701,-35715773608,8.6575,360,0
1922528141,-15380225128,8.6516,405,0
7222493651,-57779949208,8.6503,392,0
4115113811,-32920910488,8.6502,388,0
8060503721,-64484029768,8.6499,375,0
6213218831,-49705750648,8.6491,389,0
